applicant_id,age,monthly_income_inr,existing_loans_count,credit_utilization_ratio,upi_monthly_inflow_inr,bounced_payments_count,credit_bureau_score,employment_type,default
APP1000,59,41646,4,0.8,17398,2,,salaried,1
APP1001,49,119185,0,0.08,58503,3,380.0,salaried,0
APP1002,35,38049,0,0.59,8638,1,788.0,salaried,1
APP1003,28,113116,0,0.26,8570,2,387.0,salaried,0
APP1004,41,112379,2,0.16,70785,3,493.0,salaried,0
APP1005,59,83385,2,0.12,11110,0,403.0,self_employed,0
APP1006,39,141131,0,0.68,107899,1,395.0,gig,0
APP1007,43,38289,4,0.36,81141,1,722.0,salaried,0
APP1008,31,125226,3,0.7,14115,3,,gig,1
APP1009,31,115793,3,0.11,41062,3,,salaried,0
APP1010,44,24823,1,0.33,24911,1,,salaried,1
APP1011,56,56975,4,0.54,106061,1,677.0,salaried,0
APP1012,44,24540,2,0.76,34556,0,466.0,salaried,1
APP1013,23,31364,0,0.34,80131,1,808.0,self_employed,0
APP1014,42,42663,1,0.61,3969,0,,self_employed,0
APP1015,22,66991,3,0.85,45753,0,892.0,salaried,0
APP1016,44,119182,2,0.6,84811,3,,salaried,0
APP1017,50,109704,2,0.26,6470,1,,salaried,1
APP1018,58,64115,0,0.07,12225,1,372.0,salaried,1
APP1019,22,106007,3,0.83,109860,1,440.0,salaried,0
APP1020,41,26938,4,0.07,109510,2,881.0,salaried,1
APP1021,53,106680,2,0.84,110295,0,561.0,self_employed,1
APP1022,32,19000,0,0.53,25196,2,,gig,1
APP1023,42,116042,4,0.9,107823,1,,salaried,0
APP1024,45,108610,3,0.77,15669,2,544.0,gig,0
APP1025,47,118691,2,0.95,39380,0,814.0,salaried,0
APP1026,48,53304,4,0.37,112677,0,636.0,salaried,0
APP1027,36,84449,4,0.74,117886,1,874.0,salaried,0
APP1028,35,97986,4,0.41,50320,1,860.0,self_employed,0
APP1029,23,123940,2,0.48,49414,3,375.0,gig,0
APP1030,57,53494,2,0.61,105542,1,474.0,self_employed,0
APP1031,27,18373,1,0.84,17577,1,408.0,salaried,1
APP1032,41,112532,3,0.94,90009,0,,self_employed,0
APP1033,29,107658,0,0.74,57409,2,,salaried,0
APP1034,59,138633,4,0.43,30625,1,364.0,gig,0
APP1035,38,115386,1,0.43,83040,3,773.0,salaried,0
APP1036,24,42350,0,0.71,26089,1,399.0,salaried,0
APP1037,45,108008,1,0.26,38487,0,843.0,self_employed,0
APP1038,34,109297,2,0.15,67838,0,,self_employed,0
APP1039,29,40351,4,0.37,98999,1,751.0,salaried,0
APP1040,46,103668,0,0.31,112448,1,,self_employed,0
APP1041,22,129585,0,0.32,96795,0,,salaried,0
APP1042,40,90353,0,0.26,52138,0,718.0,self_employed,0
APP1043,48,80953,0,0.09,44823,4,787.0,self_employed,0
APP1044,27,72458,0,0.07,39208,1,377.0,self_employed,0
APP1045,28,35358,1,0.94,56061,1,569.0,self_employed,0
APP1046,55,18267,4,0.43,32659,1,,salaried,1
APP1047,34,97745,2,0.4,103376,1,467.0,salaried,0
APP1048,37,104588,2,0.66,33890,1,638.0,self_employed,0
APP1049,56,53513,2,0.25,81134,1,492.0,salaried,0
APP1050,24,26338,2,0.9,49055,4,752.0,salaried,1
APP1051,22,146484,1,0.76,114269,1,,salaried,0
APP1052,26,22543,3,0.13,21508,0,635.0,salaried,0
APP1053,24,120891,4,0.43,44287,1,689.0,self_employed,1
APP1054,49,75692,0,0.84,80916,2,824.0,salaried,0
APP1055,38,59425,3,0.9,28984,3,539.0,self_employed,0
APP1056,46,53756,2,0.47,112169,0,782.0,salaried,0
APP1057,54,33888,3,0.6,10125,1,,salaried,1
APP1058,30,62295,4,0.2,38059,2,854.0,salaried,0
APP1059,56,129352,0,0.94,71569,0,757.0,salaried,0
APP1060,34,98042,0,0.26,105409,0,388.0,salaried,0
APP1061,51,100999,4,0.9,19087,1,394.0,self_employed,0
APP1062,35,32955,4,0.63,108437,0,751.0,salaried,0
APP1063,28,52841,2,0.6,117262,0,727.0,self_employed,0
APP1064,34,85640,0,0.51,7704,2,450.0,salaried,0
APP1065,43,76476,3,0.26,62576,0,813.0,salaried,0
APP1066,41,59811,1,0.21,75384,1,,self_employed,0
APP1067,36,86180,1,0.25,89128,1,321.0,salaried,0
APP1068,38,127856,4,0.22,113279,0,,salaried,0
APP1069,44,83450,2,0.75,74460,0,818.0,salaried,0
APP1070,46,126888,1,0.37,29208,2,505.0,salaried,0
APP1071,45,125448,0,0.1,87150,0,674.0,self_employed,0
APP1072,49,29397,4,0.92,68024,0,750.0,salaried,0
APP1073,35,146800,3,0.85,41882,1,894.0,self_employed,0
APP1074,21,134180,4,0.88,27923,2,478.0,gig,0
APP1075,45,81234,3,0.95,116044,0,,salaried,0
APP1076,27,54954,4,0.21,103477,0,799.0,gig,0
APP1077,29,94459,4,0.41,31165,3,,salaried,0
APP1078,44,74163,4,0.73,69203,0,423.0,gig,1
APP1079,21,66934,3,0.68,93749,2,412.0,salaried,0
APP1080,28,69098,3,0.19,6114,3,311.0,self_employed,0
APP1081,44,20486,4,0.78,66965,2,425.0,salaried,0
APP1082,31,101900,1,0.25,38321,2,864.0,salaried,0
APP1083,37,141020,2,0.25,75297,1,630.0,self_employed,0
APP1084,28,117795,2,0.53,98652,1,582.0,self_employed,0
APP1085,55,102508,2,0.58,101304,1,439.0,salaried,0
APP1086,55,133324,3,0.57,115942,0,700.0,salaried,0
APP1087,53,75566,3,0.13,27426,0,396.0,self_employed,0
APP1088,25,42192,1,0.84,19772,2,816.0,self_employed,1
APP1089,59,16062,2,0.29,105754,4,868.0,gig,0
APP1090,48,99076,2,0.17,5712,2,368.0,self_employed,0
APP1091,27,104780,4,0.85,3367,3,417.0,gig,1
APP1092,29,36689,3,0.91,108493,3,358.0,self_employed,1
APP1093,28,26174,2,0.83,109317,0,332.0,salaried,0
APP1094,32,103461,1,0.78,117142,0,617.0,salaried,0
APP1095,54,141174,1,0.64,93736,2,349.0,self_employed,0
APP1096,53,118033,2,0.55,53924,3,,self_employed,0
APP1097,43,24348,3,0.13,5726,1,,salaried,1
APP1098,44,53102,1,0.42,91152,0,496.0,salaried,0
APP1099,57,89460,4,0.39,29723,3,749.0,gig,0
APP1100,55,117634,1,0.28,105110,1,,salaried,0
APP1101,42,104930,0,0.7,102494,1,751.0,salaried,0
APP1102,47,21801,0,0.5,11108,0,,salaried,0
APP1103,55,118150,3,0.12,79714,2,440.0,salaried,0
APP1104,21,16542,2,0.25,37643,2,383.0,salaried,0
APP1105,55,36677,3,0.66,33324,2,690.0,salaried,1
APP1106,57,54081,3,0.12,105896,0,890.0,salaried,0
APP1107,34,108105,3,0.82,85360,1,514.0,self_employed,0
APP1108,23,34065,3,0.5,112896,1,825.0,salaried,0
APP1109,21,103092,4,0.48,10927,1,514.0,self_employed,0
APP1110,25,69693,4,0.58,95680,1,702.0,gig,0
APP1111,46,41962,1,0.79,98546,2,427.0,salaried,1
APP1112,34,43295,0,0.36,24443,0,776.0,self_employed,0
APP1113,59,28807,3,0.66,81973,1,703.0,salaried,0
APP1114,47,147396,1,0.56,65449,2,328.0,gig,0
APP1115,29,106267,0,0.29,111834,3,637.0,salaried,0
APP1116,35,34870,2,0.84,107314,1,,self_employed,0
APP1117,35,41790,4,0.77,78743,0,868.0,self_employed,1
APP1118,46,133874,0,0.64,62233,1,691.0,salaried,0
APP1119,33,40289,2,0.82,27537,1,517.0,salaried,1
APP1120,52,30485,0,0.83,103293,1,,self_employed,1
APP1121,59,59482,4,0.69,79576,1,501.0,self_employed,0
APP1122,52,101188,4,0.8,109522,2,316.0,salaried,0
APP1123,24,19748,1,0.68,24612,3,621.0,self_employed,1
APP1124,50,18709,3,0.66,95977,2,817.0,salaried,0
APP1125,57,138961,0,0.61,8471,0,869.0,self_employed,0
APP1126,43,45355,0,0.73,37631,1,624.0,salaried,0
APP1127,59,57918,2,0.19,110997,2,,gig,0
APP1128,35,67224,4,0.84,94059,1,617.0,salaried,0
APP1129,49,54298,0,0.83,33348,1,381.0,salaried,0
APP1130,56,95219,4,0.08,66732,0,773.0,salaried,0
APP1131,33,76629,0,0.79,3177,0,767.0,salaried,0
APP1132,52,81040,1,0.17,6760,4,724.0,salaried,1
APP1133,27,43016,3,0.35,34779,1,503.0,salaried,0
APP1134,42,38960,0,0.72,23636,1,,self_employed,0
APP1135,48,48591,4,0.19,83889,2,686.0,salaried,0
