txn_id,applicant_id,txn_hour,is_new_device,txn_amount_inr,channel
BTXN5000,APP1126,15,0,199,P2P
BTXN5001,APP1167,22,0,499,P2P
BTXN5002,APP1079,18,0,1999,P2P
BTXN5003,APP1293,18,1,999,P2M
BTXN5004,APP1332,12,0,199,P2P
BTXN5005,APP1125,15,0,199,P2M
BTXN5006,APP1342,7,0,199,P2M
BTXN5007,APP1309,9,0,199,P2P
BTXN5008,APP1149,11,0,199,P2M
BTXN5009,APP1015,11,0,499,P2P
BTXN5010,APP1027,22,1,199,P2P
BTXN5011,APP1172,19,0,199,P2P
BTXN5012,APP1045,16,0,499,P2P
BTXN5013,APP1327,7,1,199,P2M
BTXN5014,APP1235,8,0,199,P2M
BTXN5015,APP1213,16,0,499,P2P
BTXN5016,APP1084,11,0,199,P2M
BTXN5017,APP1281,19,0,499,P2P
BTXN5018,APP1231,21,0,199,P2M
BTXN5019,APP1084,12,0,999,P2P
BTXN5020,APP1064,13,0,1999,P2P
BTXN5021,APP1133,21,0,999,P2P
BTXN5022,APP1150,12,0,499,P2P
BTXN5023,APP1114,14,0,1999,P2M
BTXN5024,APP1063,18,0,999,P2M
BTXN5025,APP1342,6,0,199,P2P
BTXN5026,APP1362,13,0,499,P2M
BTXN5027,APP1351,9,0,1999,P2M
BTXN5028,APP1157,8,0,499,P2M
BTXN5029,APP1076,8,0,199,P2P
BTXN5030,APP1145,18,0,999,P2M
BTXN5031,APP1342,13,0,1999,P2M
BTXN5032,APP1224,12,0,199,P2M
BTXN5033,APP1312,6,0,499,P2P
BTXN5034,APP1102,21,0,199,P2P
BTXN5035,APP1346,11,0,999,P2P
BTXN5036,APP1300,12,0,199,P2M
BTXN5037,APP1087,17,0,499,P2M
BTXN5038,APP1370,14,0,1999,P2P
BTXN5039,APP1302,16,0,499,P2M
BTXN5040,APP1167,15,0,999,P2M
BTXN5041,APP1169,6,0,499,P2M
BTXN5042,APP1134,9,0,199,P2M
BTXN5043,APP1049,10,0,999,P2M
BTXN5044,APP1339,14,0,199,P2P
BTXN5045,APP1346,22,0,499,P2M
BTXN5046,APP1133,8,0,199,P2P
BTXN5047,APP1346,21,0,999,P2P
BTXN5048,APP1136,10,0,3999,P2P
BTXN5049,APP1244,21,0,3999,P2P
BTXN5050,APP1108,8,0,499,P2P
BTXN5051,APP1312,20,0,199,P2P
BTXN5052,APP1286,8,0,499,P2M
BTXN5053,APP1020,19,0,1999,P2P
BTXN5054,APP1089,21,0,199,P2M
BTXN5055,APP1295,22,0,3999,P2P
BTXN5056,APP1111,19,0,499,P2M
BTXN5057,APP1300,20,0,3999,P2M
BTXN5058,APP1076,20,0,1999,P2P
BTXN5059,APP1176,11,0,1999,P2M
BTXN5060,APP1342,20,0,499,P2M
BTXN5061,APP1147,9,0,199,P2M
BTXN5062,APP1100,13,0,499,P2M
BTXN5063,APP1245,20,0,499,P2M
BTXN5064,APP1116,8,0,199,P2M
BTXN5065,APP1091,20,0,499,P2M
BTXN5066,APP1027,18,0,499,P2P
BTXN5067,APP1024,14,0,999,P2M
BTXN5068,APP1057,7,0,999,P2P
BTXN5069,APP1296,13,0,199,P2M
BTXN5070,APP1133,22,0,3999,P2P
BTXN5071,APP1330,18,0,199,P2M
BTXN5072,APP1248,6,0,499,P2M
BTXN5073,APP1037,7,1,499,P2P
BTXN5074,APP1389,20,0,1999,P2P
BTXN5075,APP1074,17,0,199,P2M
BTXN5076,APP1141,19,0,499,P2M
BTXN5077,APP1321,7,0,999,P2M
BTXN5078,APP1167,12,0,199,P2P
BTXN5079,APP1258,11,0,999,P2M
BTXN5080,APP1372,19,0,1999,P2M
BTXN5081,APP1354,13,1,3999,P2P
BTXN5082,APP1224,7,0,199,P2P
BTXN5083,APP1151,22,0,199,P2M
BTXN5084,APP1018,10,0,499,P2P
BTXN5085,APP1145,19,0,499,P2P
BTXN5086,APP1240,8,0,199,P2M
BTXN5087,APP1371,10,0,199,P2P
BTXN5088,APP1380,21,0,3999,P2M
BTXN5089,APP1343,22,0,1999,P2P
BTXN5090,APP1236,16,0,199,P2M
BTXN5091,APP1034,22,0,499,P2M
BTXN5092,APP1189,21,0,499,P2P
BTXN5093,APP1000,7,0,199,P2M
BTXN5094,APP1152,9,0,999,P2P
BTXN5095,APP1125,12,0,999,P2M
BTXN5096,APP1344,7,0,1999,P2M
BTXN5097,APP1399,11,0,999,P2M
BTXN5098,APP1225,22,0,499,P2M
BTXN5099,APP1220,12,0,999,P2P
BTXN5100,APP1210,10,0,199,P2M
BTXN5101,APP1024,10,0,999,P2P
BTXN5102,APP1015,21,0,499,P2P
BTXN5103,APP1181,14,0,199,P2M
BTXN5104,APP1328,10,0,199,P2P
BTXN5105,APP1128,13,0,199,P2M
BTXN5106,APP1041,14,0,1999,P2P
BTXN5107,APP1335,10,0,199,P2M
BTXN5108,APP1235,15,0,199,P2P
BTXN5109,APP1359,7,1,499,P2P
BTXN5110,APP1033,14,0,999,P2M
BTXN5111,APP1344,16,0,199,P2M
BTXN5112,APP1380,9,0,3999,P2M
BTXN5113,APP1044,7,0,1999,P2P
BTXN5114,APP1133,11,0,499,P2P
BTXN5115,APP1020,19,0,999,P2M
BTXN5116,APP1121,6,0,199,P2M
BTXN5117,APP1069,12,0,499,P2P
BTXN5118,APP1351,6,0,999,P2M
BTXN5119,APP1360,6,0,199,P2M
BTXN5120,APP1047,6,0,199,P2M
BTXN5121,APP1038,9,0,999,P2M
BTXN5122,APP1286,9,0,199,P2M
BTXN5123,APP1009,16,0,3999,P2P
BTXN5124,APP1029,6,1,199,P2P
BTXN5125,APP1243,15,0,999,P2M
BTXN5126,APP1273,14,0,499,P2M
BTXN5127,APP1087,9,0,999,P2M
BTXN5128,APP1243,11,0,499,P2P
BTXN5129,APP1380,21,0,499,P2M
BTXN5130,APP1328,7,1,1999,P2M
BTXN5131,APP1014,15,0,499,P2P
BTXN5132,APP1003,22,0,499,P2P
BTXN5133,APP1190,18,0,499,P2M
BTXN5134,APP1167,18,0,999,P2M
BTXN5135,APP1008,22,0,499,P2P
BTXN5136,APP1108,10,0,3999,P2M
BTXN5137,APP1136,16,0,199,P2M
BTXN5138,APP1153,12,0,499,P2M
BTXN5139,APP1387,15,0,999,P2P
BTXN5140,APP1208,22,0,999,P2M
BTXN5141,APP1271,20,0,1999,P2P
BTXN5142,APP1142,7,0,3999,P2M
BTXN5143,APP1098,9,0,499,P2P
BTXN5144,APP1376,8,0,199,P2M
BTXN5145,APP1307,12,0,199,P2P
BTXN5146,APP1068,15,0,999,P2M
BTXN5147,APP1246,12,0,1999,P2M
BTXN5148,APP1260,13,0,199,P2P
BTXN5149,APP1275,11,0,199,P2M
BTXN5150,APP1078,6,0,199,P2P
BTXN5151,APP1145,9,0,1999,P2P
BTXN5152,APP1110,19,0,499,P2M
BTXN5153,APP1257,22,0,499,P2P
BTXN5154,APP1092,16,0,499,P2M
BTXN5155,APP1012,19,0,1999,P2M
BTXN5156,APP1259,14,0,999,P2M
BTXN5157,APP1108,20,1,999,P2P
BTXN5158,APP1329,17,0,199,P2M
BTXN5159,APP1188,15,0,499,P2M
BTXN5160,APP1094,11,0,999,P2P
BTXN5161,APP1104,11,0,3999,P2M
BTXN5162,APP1007,13,0,199,P2P
BTXN5163,APP1066,6,0,199,P2M
BTXN5164,APP1190,22,0,199,P2P
BTXN5165,APP1365,22,0,499,P2M
BTXN5166,APP1255,20,0,1999,P2M
BTXN5167,APP1008,12,0,199,P2P
BTXN5168,APP1116,8,0,499,P2P
BTXN5169,APP1266,16,0,499,P2M
BTXN5170,APP1098,14,0,199,P2M
BTXN5171,APP1297,15,0,499,P2P
BTXN5172,APP1396,7,0,199,P2P
BTXN5173,APP1163,6,0,499,P2M
BTXN5174,APP1375,21,0,999,P2M
BTXN5175,APP1140,22,0,499,P2M
BTXN5176,APP1267,11,0,199,P2M
BTXN5177,APP1036,19,0,3999,P2P
BTXN5178,APP1073,20,0,999,P2M
BTXN5179,APP1072,19,0,999,P2M
BTXN5180,APP1307,8,0,199,P2P
BTXN5181,APP1198,17,0,199,P2M
BTXN5182,APP1129,7,0,199,P2M
BTXN5183,APP1245,8,0,199,P2P
BTXN5184,APP1311,6,0,499,P2M
BTXN5185,APP1059,11,0,3999,P2P
BTXN5186,APP1278,10,0,499,P2M
BTXN5187,APP1102,6,0,199,P2M
BTXN5188,APP1295,6,0,499,P2P
BTXN5189,APP1319,21,0,199,P2P
BTXN5190,APP1340,17,0,999,P2M
BTXN5191,APP1150,13,0,499,P2M
BTXN5192,APP1156,21,0,999,P2M
BTXN5193,APP1205,6,0,3999,P2M
BTXN5194,APP1178,9,0,199,P2M
BTXN5195,APP1196,15,0,499,P2M
BTXN5196,APP1222,16,0,1999,P2M
BTXN5197,APP1088,22,0,999,P2P
BTXN5198,APP1286,12,0,499,P2M
BTXN5199,APP1275,17,0,3999,P2M
BTXN5200,APP1235,12,0,199,P2M
BTXN5201,APP1182,17,0,3999,P2M
BTXN5202,APP1208,20,0,199,P2M
BTXN5203,APP1129,7,0,499,P2M
BTXN5204,APP1152,19,0,1999,P2P
