transaction_id,user_id,merchant_id,transaction_time,amount_inr,payment_method,status,risk_score
TXN100000,350,16,2026-01-29 11:13:00,2999,Wallet,captured,85
TXN100001,287,27,2026-01-04 11:49:00,49,UPI,captured,79
TXN100002,122,11,2026-01-24 04:59:00,1499,Wallet,captured,22
TXN100003,92,22,2026-01-29 13:01:00,49,Netbanking,captured,100
TXN100004,343,16,2026-01-30 13:51:00,99,UPI,captured,34
TXN100005,196,3,2026-01-06 22:06:00,99,UPI,captured,60
TXN100006,236,23,2026-01-08 06:52:00,99,Wallet,captured,39
TXN100007,13,13,2026-01-27 07:14:00,99,UPI,captured,51
TXN100008,36,18,2026-01-11 08:55:00,799,UPI,captured,44
TXN100009,348,35,2026-01-21 16:25:00,299,UPI,captured,42
TXN100010,134,12,2026-01-01 03:56:00,49,UPI,captured,74
TXN100011,306,28,2026-01-09 01:06:00,2999,Card,failed,44
TXN100012,311,33,2026-01-24 10:27:00,49,Wallet,captured,14
TXN100013,131,3,2026-01-13 18:12:00,49,UPI,captured,90
TXN100014,276,13,2026-01-14 00:33:00,1499,UPI,captured,46
TXN100015,170,40,2026-01-14 02:42:00,99,UPI,captured,40
TXN100016,154,33,2026-01-22 03:46:00,99,Netbanking,captured,39
TXN100017,207,19,2026-01-22 13:20:00,2999,Card,captured,70
TXN100018,341,25,2026-01-05 06:26:00,2999,UPI,captured,86
TXN100019,292,20,2026-01-24 05:39:00,49,UPI,captured,51
TXN100020,147,14,2026-01-18 00:19:00,99,Card,captured,55
TXN100021,336,21,2026-01-26 18:38:00,99,UPI,captured,59
TXN100022,110,33,2026-01-15 14:43:00,799,UPI,captured,60
TXN100023,338,6,2026-01-26 23:10:00,799,UPI,chargeback,36
TXN100024,318,22,2026-01-17 21:40:00,799,Wallet,captured,11
TXN100025,159,15,2026-01-27 07:43:00,799,UPI,captured,25
TXN100026,126,31,2026-01-05 00:02:00,49,Card,captured,78
TXN100027,213,37,2026-01-28 02:29:00,99,UPI,captured,24
TXN100028,254,26,2026-01-23 22:24:00,99,Wallet,captured,31
TXN100029,3,7,2026-01-05 20:44:00,1499,UPI,captured,99
TXN100030,266,30,2026-01-14 07:11:00,499,Card,captured,6
TXN100031,63,30,2026-01-18 07:58:00,799,UPI,captured,17
TXN100032,272,36,2026-01-26 14:42:00,149,UPI,captured,76
TXN100033,259,28,2026-01-11 14:39:00,49,Wallet,captured,70
TXN100034,244,29,2026-01-15 05:47:00,299,Netbanking,captured,33
TXN100035,327,18,2026-01-25 07:53:00,149,Card,captured,98
TXN100036,321,16,2026-01-25 16:31:00,49,UPI,captured,35
TXN100037,147,16,2026-01-15 02:45:00,2999,Card,captured,34
TXN100038,277,6,2026-01-11 10:57:00,1499,Card,captured,17
TXN100039,79,14,2026-01-05 07:24:00,1499,UPI,captured,8
TXN100040,278,30,2026-01-14 13:21:00,1499,UPI,captured,53
TXN100041,216,25,2026-01-02 06:53:00,99,UPI,captured,98
TXN100042,295,25,2026-01-19 22:01:00,1499,UPI,captured,61
TXN100043,200,27,2026-01-01 11:19:00,149,UPI,captured,68
TXN100044,309,15,2026-01-24 23:34:00,99,Netbanking,captured,62
TXN100045,249,2,2026-01-08 08:27:00,299,Wallet,captured,49
TXN100046,208,11,2026-01-11 21:43:00,4999,Netbanking,captured,59
TXN100047,274,2,2026-01-30 04:39:00,299,UPI,captured,50
TXN100048,14,6,2026-01-19 18:42:00,49,Wallet,captured,82
TXN100049,237,12,2026-01-14 04:55:00,49,UPI,captured,6
TXN100050,109,30,2026-01-09 12:20:00,99,UPI,captured,41
TXN100051,216,17,2026-01-11 12:17:00,4999,UPI,captured,10
TXN100052,277,4,2026-01-16 00:47:00,799,UPI,captured,44
TXN100053,334,3,2026-01-08 20:04:00,149,Wallet,captured,96
TXN100054,11,40,2026-01-01 07:12:00,299,UPI,captured,19
TXN100055,343,8,2026-01-08 04:30:00,99,UPI,captured,72
TXN100056,132,24,2026-01-07 14:44:00,299,Wallet,captured,21
TXN100057,59,11,2026-01-20 19:47:00,299,UPI,captured,39
TXN100058,160,37,2026-01-04 18:01:00,49,Wallet,captured,86
TXN100059,102,5,2026-01-30 12:25:00,2999,UPI,captured,75
TXN100060,53,20,2026-01-23 20:15:00,49,Netbanking,captured,87
TXN100061,290,3,2026-01-20 03:50:00,99,Wallet,captured,44
TXN100062,190,5,2026-01-18 13:42:00,299,UPI,captured,64
TXN100063,216,32,2026-01-21 10:00:00,49,Card,captured,13
TXN100064,236,10,2026-01-14 11:40:00,499,UPI,captured,55
TXN100065,334,18,2026-01-06 23:33:00,499,Card,captured,78
TXN100066,248,30,2026-01-26 17:49:00,799,Wallet,captured,55
TXN100067,138,21,2026-01-27 23:37:00,49,Card,captured,31
TXN100068,231,16,2026-01-27 02:17:00,49,UPI,captured,96
TXN100069,343,25,2026-01-15 18:39:00,49,UPI,captured,43
TXN100070,167,12,2026-01-01 15:54:00,499,Wallet,captured,62
TXN100071,133,22,2026-01-07 11:51:00,499,UPI,captured,35
TXN100072,142,36,2026-01-29 19:44:00,799,Wallet,captured,1
TXN100073,124,27,2026-01-17 06:05:00,499,Wallet,captured,62
TXN100074,244,32,2026-01-18 07:44:00,149,UPI,captured,57
TXN100075,151,15,2026-01-26 00:05:00,4999,UPI,captured,51
TXN100076,340,38,2026-01-23 07:19:00,499,Card,captured,47
TXN100077,177,28,2026-01-16 17:33:00,299,UPI,captured,95
TXN100078,233,18,2026-01-18 10:22:00,499,UPI,captured,39
TXN100079,99,21,2026-01-09 07:07:00,499,UPI,captured,15
TXN100080,95,13,2026-01-24 17:48:00,2999,Netbanking,failed,27
TXN100081,302,34,2026-01-24 15:17:00,49,Netbanking,captured,76
TXN100082,100,19,2026-01-10 03:53:00,2999,Netbanking,captured,29
TXN100083,8,35,2026-01-12 05:19:00,99,UPI,captured,16
TXN100084,284,19,2026-01-09 01:03:00,99,UPI,captured,89
TXN100085,252,7,2026-01-05 20:55:00,2999,Wallet,captured,1
TXN100086,246,29,2026-01-19 09:30:00,49,Wallet,captured,43
TXN100087,245,8,2026-01-06 01:16:00,49,UPI,chargeback,8
TXN100088,296,4,2026-01-13 15:04:00,799,Wallet,captured,19
TXN100089,44,16,2026-01-05 18:19:00,149,UPI,captured,15
TXN100090,306,40,2026-01-18 13:38:00,799,Card,captured,28
TXN100091,231,29,2026-01-25 16:24:00,299,UPI,captured,38
TXN100092,157,37,2026-01-28 18:27:00,499,Wallet,captured,79
TXN100093,51,14,2026-01-02 19:47:00,1499,UPI,captured,80
TXN100094,42,11,2026-01-07 08:42:00,49,Wallet,captured,30
TXN100095,81,1,2026-01-06 17:04:00,149,UPI,captured,52
TXN100096,241,19,2026-01-15 22:38:00,299,UPI,captured,4
TXN100097,145,30,2026-01-08 09:45:00,799,UPI,captured,9
TXN100098,136,38,2026-01-22 07:59:00,299,Card,captured,84
TXN100099,59,35,2026-01-26 06:27:00,499,UPI,captured,28
TXN100100,137,10,2026-01-21 04:58:00,299,UPI,captured,9
TXN100101,158,39,2026-01-02 05:50:00,499,Netbanking,captured,95
TXN100102,148,29,2026-01-27 18:58:00,99,Card,captured,15
TXN100103,207,18,2026-01-15 22:19:00,149,UPI,captured,64
TXN100104,42,39,2026-01-18 15:28:00,2999,Card,captured,5
TXN100105,166,39,2026-01-29 13:47:00,149,UPI,captured,32
TXN100106,346,37,2026-01-01 02:14:00,99,UPI,captured,75
TXN100107,138,37,2026-01-01 21:52:00,499,UPI,captured,5
TXN100108,266,29,2026-01-25 05:30:00,499,Wallet,failed,35
TXN100109,326,32,2026-01-06 18:27:00,149,UPI,captured,11
TXN100110,171,21,2026-01-16 11:26:00,799,UPI,captured,85
TXN100111,211,32,2026-01-04 05:21:00,49,UPI,captured,36
TXN100112,282,3,2026-01-22 12:52:00,499,UPI,captured,58
TXN100113,166,8,2026-01-03 10:16:00,299,UPI,captured,98
TXN100114,1,35,2026-01-13 16:52:00,149,UPI,captured,59
TXN100115,266,24,2026-01-14 01:12:00,499,UPI,captured,79
TXN100116,227,4,2026-01-25 15:40:00,499,UPI,captured,26
TXN100117,148,29,2026-01-09 17:08:00,499,UPI,captured,89
TXN100118,323,39,2026-01-16 03:01:00,499,UPI,captured,30
TXN100119,283,1,2026-01-23 05:19:00,2999,Wallet,captured,70
TXN100120,59,30,2026-01-14 02:14:00,499,UPI,captured,15
TXN100121,150,33,2026-01-21 04:31:00,2999,UPI,captured,90
TXN100122,248,31,2026-01-09 13:53:00,1499,UPI,failed,31
TXN100123,197,13,2026-01-15 17:09:00,49,UPI,captured,76
TXN100124,70,5,2026-01-17 23:56:00,499,UPI,captured,35
TXN100125,260,18,2026-01-25 13:21:00,1499,UPI,captured,0
TXN100126,301,38,2026-01-10 23:19:00,99,UPI,captured,84
TXN100127,276,31,2026-01-16 04:28:00,499,Card,captured,44
TXN100128,279,25,2026-01-11 17:48:00,799,UPI,captured,58
TXN100129,97,16,2026-01-30 10:55:00,799,Card,captured,73
TXN100130,211,3,2026-01-13 07:54:00,149,UPI,chargeback,40
TXN100131,196,25,2026-01-24 15:45:00,149,Netbanking,captured,84
TXN100132,254,3,2026-01-26 20:09:00,149,Card,captured,16
TXN100133,52,29,2026-01-17 18:21:00,49,Netbanking,captured,12
TXN100134,74,27,2026-01-17 14:00:00,799,UPI,captured,83
TXN100135,136,22,2026-01-05 02:30:00,149,UPI,captured,79
TXN100136,42,22,2026-01-23 12:41:00,49,UPI,captured,86
TXN100137,163,32,2026-01-28 17:24:00,2999,Wallet,failed,69
TXN100138,121,19,2026-01-02 19:04:00,149,UPI,captured,29
TXN100139,51,7,2026-01-24 02:27:00,499,Card,captured,56
TXN100140,15,3,2026-01-06 22:19:00,799,UPI,captured,41
TXN100141,184,24,2026-01-26 01:18:00,49,UPI,captured,55
TXN100142,211,37,2026-01-05 07:33:00,1499,UPI,captured,87
TXN100143,90,6,2026-01-26 05:10:00,49,Card,captured,78
TXN100144,350,16,2026-01-28 12:39:00,49,UPI,captured,63
TXN100145,119,30,2026-01-30 18:09:00,49,Card,captured,81
TXN100146,342,1,2026-01-09 14:16:00,49,UPI,captured,59
TXN100147,280,11,2026-01-29 09:43:00,149,UPI,chargeback,9
TXN100148,154,28,2026-01-15 11:37:00,2999,Netbanking,captured,88
TXN100149,155,13,2026-01-09 14:54:00,149,UPI,captured,49
TXN100150,122,25,2026-01-28 15:06:00,299,UPI,captured,73
TXN100151,152,2,2026-01-12 18:18:00,49,UPI,captured,84
TXN100152,290,4,2026-01-13 08:00:00,149,UPI,captured,77
TXN100153,147,15,2026-01-24 15:53:00,49,Wallet,captured,77
TXN100154,326,13,2026-01-26 11:14:00,299,Netbanking,captured,79
TXN100155,338,9,2026-01-09 21:48:00,99,Card,captured,80
TXN100156,21,20,2026-01-04 20:41:00,2999,UPI,captured,100
