merchant_id,merchant_name,category,region
1,Merchant_001,ecommerce,South
2,Merchant_002,grocery,West
3,Merchant_003,grocery,East
4,Merchant_004,ecommerce,East
5,Merchant_005,recharge,South
6,Merchant_006,food_delivery,South
7,Merchant_007,food_delivery,East
8,Merchant_008,food_delivery,North
9,Merchant_009,ecommerce,North
10,Merchant_010,grocery,West
11,Merchant_011,ecommerce,North
12,Merchant_012,ecommerce,East
13,Merchant_013,travel,East
14,Merchant_014,grocery,East
15,Merchant_015,travel,North
16,Merchant_016,bill_payment,West
17,Merchant_017,grocery,North
18,Merchant_018,grocery,West
19,Merchant_019,grocery,North
20,Merchant_020,food_delivery,East
21,Merchant_021,food_delivery,East
22,Merchant_022,travel,South
23,Merchant_023,travel,North
24,Merchant_024,grocery,North
25,Merchant_025,travel,South
26,Merchant_026,food_delivery,East
27,Merchant_027,ecommerce,North
28,Merchant_028,ecommerce,South
29,Merchant_029,ecommerce,North
30,Merchant_030,travel,West
31,Merchant_031,bill_payment,East
32,Merchant_032,food_delivery,West
33,Merchant_033,bill_payment,East
34,Merchant_034,travel,South
35,Merchant_035,recharge,East
36,Merchant_036,entertainment,East
37,Merchant_037,entertainment,South
38,Merchant_038,grocery,East
39,Merchant_039,entertainment,North
40,Merchant_040,entertainment,South
